reputation,up_votes,down_votes,num_badges,contributing_score,EFF_CLASS_NUM
73,4,0,9,2.33,-1
116,0,0,2,1.25,-1
462,24,0,12,0.64,1
2244,150,0,17,14.43,1
17,0,0,6,-0.13,1
176,153,0,10,4.86,1
7185,589,6,129,3.0,0
50,8,0,11,-0.04,1
35,2,0,9,-0.1,1
76,2,0,6,0.38,-1
100,17,0,12,0.07,1
109,9,0,9,0.94,1
212,34,1,9,3.1,1
752,57,12,12,0.82,-1
2460,122,37,31,1.19,1
99,17,0,22,0.52,1
52,182,0,12,0.19,1
90,53,0,10,0.92,-1
56,7,0,4,0.46,1
801,89,3,23,2.35,1
49,11,0,8,0.21,1
608,53,4,35,1.36,-1
2927,581,4,72,1.09,0
353,49,0,17,3.3,1
531,174,11,31,0.63,0
467,173,0,23,0.21,1
3470,358,61,39,4.11,1
135,8,0,7,0.4,1
43,17,0,10,0.18,1
24,4,0,7,0.03,1
68,12,0,7,0.53,-1
628,32,2,41,0.85,1
2073,226,17,55,0.88,1
67,38,0,7,0.23,1
174,22,0,25,0.45,1
300,22,7,8,1.5,-1
106,413,0,15,0.47,1
1884,1121,6,48,0.67,-1
73,3,0,9,0.76,-1
62,0,0,7,-0.02,1
78,41,0,8,0.64,1
497,1,0,15,14.0,1
65,16,0,7,0.11,1
49,0,0,10,0.02,1
521,193,0,26,1.14,-1
312,17,1,13,1.35,1
128,0,0,11,0.77,1
36,0,0,4,1.0,-1
17,0,0,3,0.09,1
182,139,8,26,0.41,1
2087,125,4,41,2.21,-1
69,0,0,2,1.5,-1
141,0,0,3,2.25,-1
259,54,3,17,0.16,1
40,48,0,7,0.78,1
81,43,0,4,0.47,-1
62,0,0,10,0.42,1
2175,26,42,25,0.24,1
86,14,0,9,0.24,1
236,130,0,13,0.32,-1
256,15,0,15,2.53,1
184,131,1,14,1.94,0
102,219,0,9,0.45,1
23,1,0,4,0.45,1
66,7,0,5,0.33,-1
306,39,4,27,0.21,1
128,61,0,7,0.68,-1
1171,69,6,70,1.14,-1
569,164,2,19,0.57,1
126,1,0,4,1.0,-1
33,0,0,13,0.0,1
506,13,0,9,0.81,-1
170,87,14,16,-0.09,1
576,28,0,11,3.06,-1
47,3,0,6,-0.16,1
128,41,0,6,0.45,1
850,46,3,44,0.53,0
184,19,2,13,0.96,1
27,2,0,6,0.11,1
2881,25,9,20,0.39,-1
13195,178,15,84,2.09,-1
252,24,1,16,0.4,1
96,27,0,8,0.13,1
41,1,0,8,0.0,-1
5,0,0,5,0.0,1
23,1,0,4,0.6,1
29,1,0,3,0.4,-1
830,190,8,27,2.98,1
1232,263,0,62,1.46,1
68,3,0,7,0.43,0
62,2,0,5,0.25,-1
28165,4625,302,494,2.67,-1
5,0,0,8,0.0,1
504,43,0,12,2.92,-1
180,13,0,13,0.25,1
735,181,1,38,0.83,0
316,27,0,10,0.24,1
215,39,0,38,0.29,-1
176,16,0,7,0.71,-1
615,16,0,29,1.11,-1
314,2,4,12,0.63,-1
408,626,6,35,0.62,1
498,229,2,19,0.86,-1
426,0,0,13,3.71,-1
212,155,5,10,0.18,-1
91,23,0,7,0.17,1
91,47,0,12,0.38,1
150,6,1,6,0.58,-1
109,4,0,15,0.41,1
2001,249,0,46,3.84,0
77,3,0,5,0.26,-1
48,13,0,5,0.25,1
323,31,0,8,0.23,1
93,9,0,9,0.11,1
24,2,0,9,0.2,-1
73,19,0,8,0.19,1
202,21,4,9,0.36,-1
35,4,0,4,0.45,1
2777,746,2,40,5.62,-1
844,138,5,20,1.75,1
91,4,0,4,0.71,-1
40326,1134,145,131,1.14,-1
306,53,1,14,1.43,1
45,0,0,7,0.8,1
260,7,0,12,1.58,1
129,1,0,10,0.03,1
656,0,0,8,32.5,-1
501,113,1,30,1.2,1
35,0,0,7,0.03,1
37,3,0,9,0.09,1
69,2,0,8,0.28,1
2839,21,30,29,0.54,-1
91,17,0,10,0.83,-1
81,3,0,3,0.62,-1
114,37,0,10,0.29,1
1371,108,0,57,0.89,-1
2538,80,23,62,0.72,1
715,558,1,44,0.71,1
1012,411,4,63,0.52,1
12,0,0,8,-0.15,1
84,33,0,12,0.54,0
83,36,0,10,0.24,1
36,3,0,15,0.02,1
7486,573,21,95,1.8,1
1111,41,3,24,2.67,1
5141,101,25,43,0.88,1
201,24,5,11,1.73,1
117,6,0,13,0.42,1
92,44,0,12,1.17,-1
147,598,0,17,0.25,1
27,1,0,6,0.2,1
1503,456,34,32,1.34,1
101,12,0,8,1.25,-1
419,49,2,16,0.33,1
668,7,0,31,2.19,1
63,9,0,12,0.56,1
35,9,0,11,-0.0,1
164,78,3,7,0.76,-1
96,73,0,7,0.27,-1
5,0,0,4,0.0,1
114,14,0,9,1.06,1
106,0,0,3,4.5,-1
4821,1307,4,76,1.57,1
49,0,0,11,0.12,1
449,15,0,28,2.7,1
3472,68,16,52,35.61,1
805,62,9,30,1.56,1
136,2,0,12,2.55,-1
402,36,7,20,0.66,1
1110,29,2,49,1.33,0
337,18,2,14,1.71,1
53,6,0,7,0.42,-1
514,50,0,18,0.56,-1
299,14,2,9,1.92,1
800,148,4,44,0.6,-1
2380,70,37,35,2.05,1
595,27,4,12,1.57,-1
63,91,0,7,0.45,1
95,0,0,9,0.76,1
128,12,0,25,0.56,1
353,11,0,23,1.09,-1
149,16,0,27,0.58,1
790,49,13,30,3.97,-1
384,17,0,11,0.75,-1
781,53,2,52,1.01,1
329,3,0,12,1.68,1
358,2,0,13,0.84,1
462,13,2,12,1.1,-1
96,0,0,5,4.75,-1
1623,1207,9,43,0.73,-1
165,21,0,8,0.33,1
530,184,6,24,1.0,1
66,2,0,13,0.33,1
348,52,0,19,0.5,1
802,8,0,18,1.94,1
18,0,0,5,0.18,1
90,1,0,5,0.08,-1
560,10,0,14,7.0,-1
22,3,0,10,-0.06,1
72,2,0,9,0.89,-1
10,2,0,5,-0.44,1
48,3,0,8,0.47,1
8674,4172,212,128,2.17,-1
470,87,7,47,0.22,1
361,55,2,19,1.11,-1
47,10,0,7,0.35,1
1731,427,194,40,1.42,-1
18,0,0,4,0.6,1
393,17,13,11,0.4,-1
688,91,3,26,0.6,-1
96,4,0,4,0.53,-1
